[13:23:51] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[13:23:54] [ServerMain/WARN]: Failed to parse level-type default, defaulting to minecraft:normal
[13:23:55] [ServerMain/INFO]: Loaded 7 recipes
[13:23:56] [ServerMain/INFO]: Loaded 1271 advancements
[13:23:56] [Server thread/INFO]: Starting minecraft server version 1.20.1
[13:23:56] [Server thread/INFO]: Loading properties
[13:23:56] [Server thread/INFO]: Default game type: SURVIVAL
[13:23:56] [Server thread/INFO]: Generating keypair
[13:23:57] [Server thread/INFO]: Starting Minecraft server on *:25565
[13:23:57] [Server thread/INFO]: Using default channel type
[13:23:57] [Server thread/INFO]: Preparing level "world"
[13:24:07] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[13:24:09] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:24:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:24:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:24:09] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[13:24:09] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[13:24:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:24:10] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[13:24:11] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[13:24:11] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[13:24:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[13:24:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:24:13] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[13:24:13] [Worker-Main-7/INFO]: Preparing spawn area: 1%
[13:24:14] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[13:24:15] [Worker-Main-4/INFO]: Preparing spawn area: 1%
[13:24:15] [Worker-Main-7/INFO]: Preparing spawn area: 1%
[13:24:15] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[13:24:16] [Worker-Main-4/INFO]: Preparing spawn area: 3%
[13:24:16] [Worker-Main-4/INFO]: Preparing spawn area: 3%
[13:24:17] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[13:24:17] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[13:24:18] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[13:24:18] [Worker-Main-1/INFO]: Preparing spawn area: 5%
[13:24:19] [Worker-Main-7/INFO]: Preparing spawn area: 6%
[13:24:19] [Worker-Main-1/INFO]: Preparing spawn area: 6%
[13:24:20] [Worker-Main-4/INFO]: Preparing spawn area: 7%
[13:24:20] [Worker-Main-1/INFO]: Preparing spawn area: 8%
[13:24:21] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[13:24:21] [Worker-Main-7/INFO]: Preparing spawn area: 9%
[13:24:22] [Worker-Main-4/INFO]: Preparing spawn area: 10%
[13:24:22] [Worker-Main-4/INFO]: Preparing spawn area: 12%
[13:24:23] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[13:24:23] [Worker-Main-6/INFO]: Preparing spawn area: 13%
[13:24:24] [Worker-Main-4/INFO]: Preparing spawn area: 14%
[13:24:24] [Worker-Main-5/INFO]: Preparing spawn area: 15%
[13:24:25] [Worker-Main-5/INFO]: Preparing spawn area: 16%
[13:24:25] [Worker-Main-7/INFO]: Preparing spawn area: 17%
[13:24:26] [Worker-Main-3/INFO]: Preparing spawn area: 18%
[13:24:26] [Worker-Main-7/INFO]: Preparing spawn area: 20%
[13:24:27] [Worker-Main-4/INFO]: Preparing spawn area: 21%
[13:24:27] [Worker-Main-3/INFO]: Preparing spawn area: 22%
[13:24:28] [Worker-Main-6/INFO]: Preparing spawn area: 23%
[13:24:30] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[13:24:30] [Worker-Main-7/INFO]: Preparing spawn area: 24%
[13:24:30] [Worker-Main-7/INFO]: Preparing spawn area: 24%
[13:24:30] [Worker-Main-4/INFO]: Preparing spawn area: 24%
[13:24:30] [Worker-Main-6/INFO]: Preparing spawn area: 24%
[13:24:31] [Worker-Main-5/INFO]: Preparing spawn area: 25%
[13:24:31] [Worker-Main-5/INFO]: Preparing spawn area: 26%
[13:24:32] [Worker-Main-7/INFO]: Preparing spawn area: 28%
